indicator_name,indicator_date,indicator_units,indicator_value
90CL Shank,2025-11-07,US c/lb,342.00
80CL Trim,2025-11-07,US c/lb,291.10
"95CL Bull Meat, West Coast",2025-11-07,US c/lb,347.00
Steer Knuckles,2025-11-07,US c/lb,367.50
85CL Trim,2025-11-07,US c/lb,310.50
"95CL Bull Meat, East Coast",2025-11-07,US c/lb,347.50
75CL Trim,2025-11-07,US c/lb,265.50
Steer Flats,2025-11-07,US c/lb,371.75
"90CL Boneless Beef, NZ",2025-11-07,US c/lb,346.50
Cap Off Insides,2025-11-07,US c/lb,422.50
75CL Trim,2025-11-14,US c/lb,259.50
"90CL Boneless Beef, NZ",2025-11-14,US c/lb,347.50
Steer Knuckles,2025-11-14,US c/lb,362.00
Cap Off Insides,2025-11-14,US c/lb,422.50
Steer Flats,2025-11-14,US c/lb,370.50
85CL Cow Fores,2025-11-14,US c/lb,311.00
90CL Shank,2025-11-14,US c/lb,340.00
"95CL Bull Meat, East Coast",2025-11-14,US c/lb,350.00
80CL Trim,2025-11-14,US c/lb,287.50
"95CL Bull Meat, West Coast",2025-11-14,US c/lb,349.00
85CL Trim,2025-11-14,US c/lb,310.50
"90CL Boneless Beef, NZ/Australia",2025-11-14,US c/lb,347.50
75CL Trim,2025-11-21,US c/lb,287.50
85CL Cow Fores,2025-11-21,US c/lb,342.50
90CL Shank,2025-11-21,US c/lb,375.00
Steer Knuckles,2025-11-21,US c/lb,416.00
"90CL Boneless Beef, NZ",2025-11-21,US c/lb,382.50
85CL Trim,2025-11-21,US c/lb,341.00
Cap Off Insides,2025-11-21,US c/lb,476.00
"90CL Boneless Beef, NZ/Australia",2025-11-21,US c/lb,382.50
"95CL Bull Meat, West Coast",2025-11-21,US c/lb,407.50
80CL Trim,2025-11-21,US c/lb,322.50
Steer Flats,2025-11-21,US c/lb,408.50
"95CL Bull Meat, East Coast",2025-11-21,US c/lb,408.50
Steer Knuckles,2025-11-28,US c/lb,412.50
"95CL Bull Meat, West Coast",2025-11-28,US c/lb,408.50
75CL Trim,2025-11-28,US c/lb,285.50
85CL Trim,2025-11-28,US c/lb,338.00
"90CL Boneless Beef, NZ/Australia",2025-11-28,US c/lb,382.00
Steer Flats,2025-11-28,US c/lb,406.00
80CL Trim,2025-11-28,US c/lb,321.50
"95CL Bull Meat, East Coast",2025-11-28,US c/lb,410.00
"90CL Boneless Beef, NZ",2025-11-28,US c/lb,382.00
85CL Cow Fores,2025-11-28,US c/lb,337.50
Cap Off Insides,2025-11-28,US c/lb,471.00
90CL Shank,2025-11-28,US c/lb,372.50
"90CL Boneless Beef, NZ",2025-12-05,US c/lb,370.50
85CL Cow Fores,2025-12-05,US c/lb,336.50
90CL Shank,2025-12-05,US c/lb,370.00
Steer Knuckles,2025-12-05,US c/lb,400.50
85CL Trim,2025-12-05,US c/lb,335.50
Cap Off Insides,2025-12-05,US c/lb,464.50
"95CL Bull Meat, West Coast",2025-12-05,US c/lb,401.00
75CL Trim,2025-12-05,US c/lb,277.50
Steer Flats,2025-12-05,US c/lb,385.00
"90CL Boneless Beef, NZ/Australia",2025-12-05,US c/lb,370.50
"95CL Bull Meat, East Coast",2025-12-05,US c/lb,401.00
80CL Trim,2025-12-05,US c/lb,312.50
"95CL Bull Meat, West Coast",2025-12-12,US c/lb,392.00
"90CL Boneless Beef, NZ/Australia",2025-12-12,US c/lb,365.50
"95CL Bull Meat, East Coast",2025-12-12,US c/lb,392.50
80CL Trim,2025-12-12,US c/lb,312.50
"90CL Boneless Beef, NZ",2025-12-12,US c/lb,365.50
Steer Flats,2025-12-12,US c/lb,372.50
Steer Knuckles,2025-12-12,US c/lb,382.50
Cap Off Insides,2025-12-12,US c/lb,452.50
75CL Trim,2025-12-12,US c/lb,278.00
85CL Trim,2025-12-12,US c/lb,328.50
90CL Shank,2025-12-12,US c/lb,370.00
85CL Cow Fores,2025-12-12,US c/lb,330.00
"90CL Boneless Beef, NZ/Australia",2025-12-19,US c/lb,366.00
Steer Flats,2025-12-19,US c/lb,366.00
85CL Trim,2025-12-19,US c/lb,329.50
75CL Trim,2025-12-19,US c/lb,276.00
"95CL Bull Meat, East Coast",2025-12-19,US c/lb,387.50
80CL Trim,2025-12-19,US c/lb,311.00
Steer Knuckles,2025-12-19,US c/lb,381.50
"95CL Bull Meat, West Coast",2025-12-19,US c/lb,387.50
Cap Off Insides,2025-12-19,US c/lb,451.00
85CL Cow Fores,2025-12-19,US c/lb,331.00
"90CL Boneless Beef, NZ",2025-12-19,US c/lb,366.00
90CL Shank,2025-12-19,US c/lb,366.00
"90CL Boneless Beef, NZ",2025-12-26,US c/lb,360.50
90CL Shank,2025-12-26,US c/lb,360.00
Cap Off Insides,2025-12-26,US c/lb,443.50
85CL Cow Fores,2025-12-26,US c/lb,325.50
80CL Trim,2025-12-26,US c/lb,308.50
Steer Flats,2025-12-26,US c/lb,374.85
Steer Knuckles,2025-12-26,US c/lb,380.50
75CL Trim,2025-12-26,US c/lb,274.50
"95CL Bull Meat, East Coast",2025-12-26,US c/lb,385.50
85CL Trim,2025-12-26,US c/lb,325.00
"95CL Bull Meat, West Coast",2025-12-26,US c/lb,382.50
"90CL Boneless Beef, NZ/Australia",2025-12-26,US c/lb,360.50
"90CL Boneless Beef, NZ",2026-01-02,US c/lb,360.50
85CL Cow Fores,2026-01-02,US c/lb,325.50
85CL Trim,2026-01-02,US c/lb,325.00
90CL Shank,2026-01-02,US c/lb,360.00
75CL Trim,2026-01-02,US c/lb,274.50
80CL Trim,2026-01-02,US c/lb,308.50
Cap Off Insides,2026-01-02,US c/lb,443.50
"90CL Boneless Beef, NZ/Australia",2026-01-02,US c/lb,360.50
Steer Knuckles,2026-01-02,US c/lb,380.50
Steer Flats,2026-01-02,US c/lb,360.50
"95CL Bull Meat, West Coast",2026-01-02,US c/lb,382.50
"95CL Bull Meat, East Coast",2026-01-02,US c/lb,386.00
"90CL Boneless Beef, NZ",2026-01-09,US c/lb,365.50
Steer Flats,2026-01-09,US c/lb,369.00
Cap Off Insides,2026-01-09,US c/lb,447.50
"95CL Bull Meat, West Coast",2026-01-09,US c/lb,383.50
"95CL Bull Meat, East Coast",2026-01-09,US c/lb,385.50
75CL Trim,2026-01-09,US c/lb,276.00
80CL Trim,2026-01-09,US c/lb,311.00
Steer Knuckles,2026-01-09,US c/lb,389.00
85CL Trim,2026-01-09,US c/lb,328.00
85CL Cow Fores,2026-01-09,US c/lb,329.50
"90CL Boneless Beef, NZ/Australia",2026-01-09,US c/lb,365.50
90CL Shank,2026-01-09,US c/lb,360.00
"90CL Boneless Beef, NZ/Australia",2026-01-16,US c/lb,367.50
85CL Cow Fores,2026-01-16,US c/lb,330.50
"95CL Bull Meat, West Coast",2026-01-16,US c/lb,383.50
"90CL Boneless Beef, NZ",2026-01-16,US c/lb,367.50
90CL Shank,2026-01-16,US c/lb,360.00
"95CL Bull Meat, East Coast",2026-01-16,US c/lb,385.50
Cap Off Insides,2026-01-16,US c/lb,443.00
Steer Knuckles,2026-01-16,US c/lb,390.50
80CL Trim,2026-01-16,US c/lb,310.50
75CL Trim,2026-01-16,US c/lb,272.50
85CL Trim,2026-01-16,US c/lb,330.50
Steer Flats,2026-01-16,US c/lb,371.50
75CL Trim,2026-01-23,US c/lb,276.00
"95CL Bull Meat, West Coast",2026-01-23,US c/lb,385.00
"90CL Boneless Beef, NZ/Australia",2026-01-23,US c/lb,368.50
"95CL Bull Meat, East Coast",2026-01-23,US c/lb,386.50
90CL Shank,2026-01-23,US c/lb,360.00
85CL Trim,2026-01-23,US c/lb,330.50
85CL Cow Fores,2026-01-23,US c/lb,331.50
80CL Trim,2026-01-23,US c/lb,311.00
Steer Knuckles,2026-01-23,US c/lb,392.50
Steer Flats,2026-01-23,US c/lb,377.50
Cap Off Insides,2026-01-23,US c/lb,442.50
"90CL Boneless Beef, NZ",2026-01-23,US c/lb,368.50
"90CL Boneless Beef, NZ",2026-01-30,US c/lb,369.00
Steer Flats,2026-01-30,US c/lb,379.00
"90CL Boneless Beef, NZ/Australia",2026-01-30,US c/lb,369.00
Cap Off Insides,2026-01-30,US c/lb,444.50
"95CL Bull Meat, East Coast",2026-01-30,US c/lb,389.00
80CL Trim,2026-01-30,US c/lb,310.50
90CL Shank,2026-01-30,US c/lb,360.00
75CL Trim,2026-01-30,US c/lb,276.50
85CL Cow Fores,2026-01-30,US c/lb,333.00
85CL Trim,2026-01-30,US c/lb,331.50
"95CL Bull Meat, West Coast",2026-01-30,US c/lb,388.50
Steer Knuckles,2026-01-30,US c/lb,393.50
"90CL Boneless Beef, NZ/Australia",2026-02-06,US c/lb,370.50
75CL Trim,2026-02-06,US c/lb,281.50
"95CL Bull Meat, West Coast",2026-02-06,US c/lb,393.00
Steer Knuckles,2026-02-06,US c/lb,392.50
"95CL Bull Meat, East Coast",2026-02-06,US c/lb,394.50
Cap Off Insides,2026-02-06,US c/lb,447.50
"90CL Boneless Beef, NZ",2026-02-06,US c/lb,370.50
Steer Flats,2026-02-06,US c/lb,379.00
90CL Shank,2026-02-06,US c/lb,363.00
85CL Trim,2026-02-06,US c/lb,338.50
85CL Cow Fores,2026-02-06,US c/lb,341.50
80CL Trim,2026-02-06,US c/lb,315.50
Steer Flats,2026-02-13,US c/lb,382.50
85CL Trim,2026-02-13,US c/lb,341.00
"95CL Bull Meat, West Coast",2026-02-13,US c/lb,394.50
"90CL Boneless Beef, NZ",2026-02-13,US c/lb,371.00
"90CL Boneless Beef, NZ/Australia",2026-02-13,US c/lb,371.00
80CL Trim,2026-02-13,US c/lb,315.50
Cap Off Insides,2026-02-13,US c/lb,452.50
Steer Knuckles,2026-02-13,US c/lb,392.50
85CL Cow Fores,2026-02-13,US c/lb,342.50
75CL Trim,2026-02-13,US c/lb,284.00
90CL Shank,2026-02-13,US c/lb,361.00
"95CL Bull Meat, East Coast",2026-02-13,US c/lb,395.50
Cap Off Insides,2026-02-20,US c/lb,457.50
"95CL Bull Meat, East Coast",2026-02-20,US c/lb,397.50
85CL Cow Fores,2026-02-20,US c/lb,346.00
"95CL Bull Meat, West Coast",2026-02-20,US c/lb,396.50
Steer Flats,2026-02-20,US c/lb,390.00
85CL Trim,2026-02-20,US c/lb,343.50
Steer Knuckles,2026-02-20,US c/lb,397.50
80CL Trim,2026-02-20,US c/lb,315.50
75CL Trim,2026-02-20,US c/lb,284.50
"90CL Boneless Beef, NZ/Australia",2026-02-20,US c/lb,373.50
"90CL Boneless Beef, NZ",2026-02-20,US c/lb,373.50
90CL Shank,2026-02-20,US c/lb,362.50
Cap Off Insides,2026-02-27,US c/lb,452.50
85CL Cow Fores,2026-02-27,US c/lb,348.00
"90CL Boneless Beef, NZ",2026-02-27,US c/lb,373.50
"95CL Bull Meat, East Coast",2026-02-27,US c/lb,399.00
90CL Shank,2026-02-27,US c/lb,362.50
Steer Flats,2026-02-27,US c/lb,382.50
80CL Trim,2026-02-27,US c/lb,313.50
"95CL Bull Meat, West Coast",2026-02-27,US c/lb,397.50
"90CL Boneless Beef, NZ/Australia",2026-02-27,US c/lb,373.50
Steer Knuckles,2026-02-27,US c/lb,392.50
85CL Trim,2026-02-27,US c/lb,346.50
75CL Trim,2026-02-27,US c/lb,285.00
Steer Knuckles,2026-03-06,US c/lb,397.50
85CL Cow Fores,2026-03-06,US c/lb,349.50
Cap Off Insides,2026-03-06,US c/lb,452.50
75CL Trim,2026-03-06,US c/lb,283.00
Steer Flats,2026-03-06,US c/lb,380.00
"90CL Boneless Beef, NZ",2026-03-06,US c/lb,374.50
"95CL Bull Meat, East Coast",2026-03-06,US c/lb,397.50
"95CL Bull Meat, West Coast",2026-03-06,US c/lb,396.00
"90CL Boneless Beef, NZ/Australia",2026-03-06,US c/lb,374.50
90CL Shank,2026-03-06,US c/lb,362.50
80CL Trim,2026-03-06,US c/lb,311.50
85CL Trim,2026-03-06,US c/lb,348.00
Steer Knuckles,2026-03-13,US c/lb,403.00
"95CL Bull Meat, West Coast",2026-03-13,US c/lb,399.00
85CL Trim,2026-03-13,US c/lb,349.00
"90CL Boneless Beef, NZ",2026-03-13,US c/lb,373.50
"90CL Boneless Beef, NZ/Australia",2026-03-13,US c/lb,373.50
75CL Trim,2026-03-13,US c/lb,283.50
85CL Cow Fores,2026-03-13,US c/lb,349.50
80CL Trim,2026-03-13,US c/lb,312.00
90CL Shank,2026-03-13,US c/lb,362.50
"95CL Bull Meat, East Coast",2026-03-13,US c/lb,401.00
Cap Off Insides,2026-03-13,US c/lb,453.00
Steer Flats,2026-03-13,US c/lb,380.50
Cap Off Insides,2026-03-20,US c/lb,442.50
"95CL Bull Meat, East Coast",2026-03-20,US c/lb,400.50
"90CL Boneless Beef, NZ",2026-03-20,US c/lb,376.00
Steer Flats,2026-03-20,US c/lb,372.50
"90CL Boneless Beef, NZ/Australia",2026-03-20,US c/lb,376.00
75CL Trim,2026-03-20,US c/lb,284.00
90CL Shank,2026-03-20,US c/lb,362.50
80CL Trim,2026-03-20,US c/lb,314.50
Steer Knuckles,2026-03-20,US c/lb,407.50
"95CL Bull Meat, West Coast",2026-03-20,US c/lb,399.00
85CL Trim,2026-03-20,US c/lb,349.50
85CL Cow Fores,2026-03-20,US c/lb,351.00
Steer Knuckles,2026-03-27,US c/lb,407.50
Steer Flats,2026-03-27,US c/lb,372.50
75CL Trim,2026-03-27,US c/lb,284.50
90CL Shank,2026-03-27,US c/lb,360.00
"90CL Boneless Beef, NZ",2026-03-27,US c/lb,375.00
"95CL Bull Meat, East Coast",2026-03-27,US c/lb,399.50
85CL Cow Fores,2026-03-27,US c/lb,352.50
"95CL Bull Meat, West Coast",2026-03-27,US c/lb,398.50
"90CL Boneless Beef, NZ/Australia",2026-03-27,US c/lb,375.00
Cap Off Insides,2026-03-27,US c/lb,442.50
85CL Trim,2026-03-27,US c/lb,351.00
80CL Trim,2026-03-27,US c/lb,314.50
85CL Cow Fores,2026-04-03,US c/lb,354.50
"90CL Boneless Beef, NZ/Australia",2026-04-03,US c/lb,376.00
90CL Shank,2026-04-03,US c/lb,361.00
80CL Trim,2026-04-03,US c/lb,314.50
75CL Trim,2026-04-03,US c/lb,288.50
Cap Off Insides,2026-04-03,US c/lb,452.50
85CL Trim,2026-04-03,US c/lb,352.00
Steer Knuckles,2026-04-03,US c/lb,412.50
Steer Flats,2026-04-03,US c/lb,377.50
"95CL Bull Meat, West Coast",2026-04-03,US c/lb,398.00
"90CL Boneless Beef, NZ",2026-04-03,US c/lb,376.00
"95CL Bull Meat, East Coast",2026-04-03,US c/lb,398.00
85CL Cow Fores,2026-04-10,US c/lb,352.00
85CL Trim,2026-04-10,US c/lb,351.00
75CL Trim,2026-04-10,US c/lb,290.50
"95CL Bull Meat, West Coast",2026-04-10,US c/lb,397.00
Cap Off Insides,2026-04-10,US c/lb,452.50
90CL Shank,2026-04-10,US c/lb,363.50
Steer Knuckles,2026-04-10,US c/lb,412.50
"90CL Boneless Beef, NZ",2026-04-10,US c/lb,375.00
Steer Flats,2026-04-10,US c/lb,375.00
"90CL Boneless Beef, NZ/Australia",2026-04-10,US c/lb,375.00
"95CL Bull Meat, East Coast",2026-04-10,US c/lb,397.50
80CL Trim,2026-04-10,US c/lb,314.00
Steer Knuckles,2026-04-17,US c/lb,412.50
"90CL Boneless Beef, NZ/Australia",2026-04-17,US c/lb,374.50
90CL Shank,2026-04-17,US c/lb,364.50
85CL Cow Fores,2026-04-17,US c/lb,351.00
75CL Trim,2026-04-17,US c/lb,292.00
"95CL Bull Meat, East Coast",2026-04-17,US c/lb,401.00
"90CL Boneless Beef, NZ",2026-04-17,US c/lb,374.50
"95CL Bull Meat, West Coast",2026-04-17,US c/lb,399.00
85CL Trim,2026-04-17,US c/lb,350.50
80CL Trim,2026-04-17,US c/lb,315.50
Steer Flats,2026-04-17,US c/lb,372.50
Cap Off Insides,2026-04-17,US c/lb,452.50
